card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC 142: Aldo vs Mendes,Iuri Alcantara,0.43,137,0,0,Michihiro Omigawa,0.5,48,4,1,"Rio de Janeiro, Brazil",3,3,Featherweight,1,U-DEC,2012,2.79,2.72,175.26,71.0,Southpaw,0.45,0.49,0.8,0.62,1.44,0.6,135,1980,35,10,0,1,3.06,2.01,167.64000000000001,68.0,Orthodox,0.39,0.64,1.5,0.36,1.19,0.49,145,1975,17,14,1,0,32,37
UFC on FX: Guillard vs Miller,Jim Miller,0.61,26,0,0,Melvin Guillard,0.33,12,3,1,"Nashville, Tennessee, USA",3,1,Lightweight,1,SUB,2012,2.92,2.65,172.72,71.0,Southpaw,0.4,0.59,1.8,0.43,1.63,0.47,155,1983,32,16,0,1,1.85,2.96,175.26,71.0,Orthodox,0.4,0.66,0.2,0.63,1.3,0.61,155,1983,32,18,2,3,29,29
UFC 142: Aldo vs Mendes,Thiago Tavares,0.39,128,11,2,Sam Stout,0.26,172,0,0,"Rio de Janeiro, Brazil",3,3,Lightweight,1,U-DEC,2012,2.31,2.0,170.18,70.0,Orthodox,0.4,0.62,1.5,0.42,3.83,0.62,145,1984,21,7,1,0,4.08,4.17,175.26,70.0,Orthodox,0.28,0.57,0.1,0.38,0.63,0.77,155,1984,20,12,1,0,28,28
UFC 142: Aldo vs Mendes,Rousimar Palhares,0.5,8,1,0,Mike Massenzio,0.0,6,0,0,"Rio de Janeiro, Brazil",3,1,Middleweight,1,SUB,2012,2.04,1.75,172.72,71.0,Orthodox,0.51,0.59,4.1,0.45,3.93,0.0,170,1980,19,8,0,0,3.59,2.08,187.96,73.0,Southpaw,0.45,0.54,1.4,0.24,2.74,0.5,185,1982,13,9,0,0,32,30
UFC on FX: Guillard vs Miller,Duane Ludwig,0.52,46,0,0,Josh Neer,0.25,20,3,1,"Nashville, Tennessee, USA",3,1,Welterweight,0,SUB,2012,3.05,4.62,177.8,70.0,Orthodox,0.44,0.57,0.1,0.25,0.43,0.59,170,1978,21,14,0,0,3.63,3.29,180.34,72.0,Orthodox,0.46,0.58,1.3,0.34,1.09,0.46,170,1983,36,16,1,0,34,29
UFC 142: Aldo vs Mendes,Anthony Johnson,0.48,29,0,0,Vitor Belfort,0.25,16,8,2,"Rio de Janeiro, Brazil",3,1,Middleweight,0,SUB,2012,1.83,3.25,187.96,78.0,Orthodox,0.47,0.6,0.6,0.57,2.43,0.77,205,1984,22,6,0,0,2.83,1.59,182.88,74.0,Southpaw,0.46,0.5,0.6,0.6,1.02,0.53,185,1977,26,14,0,1,28,35
UFC 142: Aldo vs Mendes,Ednaldo Oliveira,0.28,7,2,2,Gabriel Gonzaga,0.0,14,0,0,"Rio de Janeiro, Brazil",3,1,Heavyweight,0,SUB,2012,1.8,1.03,195.57999999999998,79.0,Orthodox,0.22,0.52,0.0,0.0,0.0,0.42,205,1984,17,3,1,1,2.94,2.12,187.96,76.0,Orthodox,0.45,0.57,1.1,0.39,2.8,0.66,242,1979,17,11,0,0,28,33
UFC 142: Aldo vs Mendes,Mike Pyle,0.25,8,0,0,Ricardo Funch,0.45,24,0,0,"Rio de Janeiro, Brazil",3,1,Welterweight,1,KO/TKO,2012,2.84,2.74,182.88,74.0,Orthodox,0.45,0.6,1.5,0.35,1.8,0.7,170,1975,27,14,1,0,3.57,2.61,177.8,74.0,Southpaw,0.65,0.4,0.0,0.18,1.24,0.6,170,1980,9,6,0,0,37,32
UFC on FX: Guillard vs Miller,Mike Easton,0.55,152,3,1,Jared Papazian,0.4,167,3,0,"Nashville, Tennessee, USA",3,3,Bantamweight,1,M-DEC,2012,4.28,3.51,167.64000000000001,70.0,Southpaw,0.37,0.61,0.0,0.22,0.75,0.66,135,1984,13,6,0,0,3.81,3.33,172.72,67.0,Southpaw,0.39,0.44,0.0,0.0,0.0,0.5,135,1988,20,13,0,1,28,24
UFC 142: Aldo vs Mendes,Terry Etim,0.36,129,0,0,Edson Barboza,0.24,105,6,2,"Rio de Janeiro, Brazil",3,3,Lightweight,0,KO/TKO,2012,2.53,2.16,185.42,73.0,Orthodox,0.35,0.67,1.4,0.3,0.43,0.39,155,1986,16,5,0,0,4.19,4.11,180.34,75.0,Orthodox,0.44,0.59,0.1,0.44,0.4,0.78,145,1986,22,10,0,0,26,26
UFC 142: Aldo vs Mendes,Jose Aldo,0.47,23,0,0,Chad Mendes,0.56,23,7,0,"Rio de Janeiro, Brazil",5,1,Featherweight,1,KO/TKO,2012,3.59,3.63,170.18,70.0,Orthodox,0.45,0.61,0.1,0.56,0.55,0.91,135,1986,30,7,0,0,2.35,2.78,167.64000000000001,66.0,Orthodox,0.49,0.67,0.3,0.55,4.13,1.0,145,1985,18,5,0,0,26,27
UFC 140: Jones vs Machida,Mark Bocek,0.54,85,7,5,Nik Lentz,0.32,31,0,0,"Toronto, Ontario, Canada",3,3,Lightweight,1,U-DEC,2011,2.32,2.34,172.72,75.0,Orthodox,0.43,0.6,1.3,0.36,3.65,0.31,155,1981,12,5,0,0,3.25,3.44,172.72,68.0,Orthodox,0.47,0.5,1.2,0.32,3.3,0.43,145,1984,30,12,2,1,30,27
UFC 140: Jones vs Machida,Rich Attonito,0.62,27,2,1,Jake Hecht,0.7,47,1,0,"Toronto, Ontario, Canada",3,2,Welterweight,0,KO/TKO,2011,2.13,2.28,177.8,72.0,Orthodox,0.47,0.59,0.0,0.37,0.74,0.75,170,1977,10,5,0,0,2.76,3.26,182.88,73.0,Orthodox,0.47,0.56,0.0,0.37,2.04,0.4,170,1984,11,4,0,0,34,27
UFC 140: Jones vs Machida,Yves Jabouin,0.28,163,1,0,Walel Watson,0.36,90,6,2,"Toronto, Ontario, Canada",3,3,Bantamweight,1,S-DEC,2011,2.93,3.06,170.18,68.0,Orthodox,0.41,0.62,0.1,0.6,1.94,0.82,135,1979,20,11,0,0,3.79,2.1,180.34,75.0,Orthodox,0.29,0.43,1.4,0.0,0.0,0.61,135,1984,14,10,0,0,32,27
UFC 140: Jones vs Machida,John Cholish,0.12,131,3,0,Mitch Clarke,0.68,80,6,1,"Toronto, Ontario, Canada",3,2,Lightweight,1,KO/TKO,2011,2.29,2.65,180.34,74.0,Orthodox,0.49,0.73,0.4,0.31,1.82,0.78,155,1983,8,3,0,0,3.27,2.35,177.8,73.0,Orthodox,0.34,0.47,0.4,0.15,0.64,0.5,155,1985,11,5,0,0,28,26
UFC 140: Jones vs Machida,Mark Hominick,0.0,1,0,0,Chan Sung Jung,0.6,10,0,0,"Toronto, Ontario, Canada",3,1,Featherweight,0,KO/TKO,2011,4.18,4.08,172.72,68.0,Orthodox,0.42,0.69,0.9,0.66,0.25,0.71,145,1982,20,12,0,0,3.87,4.07,170.18,72.0,Orthodox,0.43,0.55,0.7,0.47,0.82,0.77,145,1987,17,6,0,0,29,24
UFC 140: Jones vs Machida,Jared Hamman,0.36,25,1,0,Constantinos Philippou,0.65,32,1,1,"Toronto, Ontario, Canada",3,1,Middleweight,0,KO/TKO,2011,3.93,5.15,190.5,75.0,Orthodox,0.42,0.55,0.0,0.46,1.57,0.3,185,1982,14,6,0,0,2.73,2.19,180.34,73.0,Orthodox,0.35,0.54,0.3,0.42,0.4,0.65,185,1979,13,5,0,1,29,32
